class,class.0,class.1,class.2,class.3,class.4,class.5
1,NA,NA,NA,NA,NA,NA
2,0.31891434358027704,0.2872709080482456,0.17901108333109983,0.10015827443543335,0.05991350104245108,0.008148977590660023
3,0.13276028389293512,0.24725389969651465,0.22361639246063442,0.15841202353377593,0.11244057240866423,0.02154125686130015
4,0.02127657015795442,0.13473743355421858,0.22770303970003714,0.22304480541679783,0.18667496068318223,0.027433455759983683
5,0.0015611093232946872,0.041120357459697096,0.15446398145479184,0.2377943538622561,0.2568877567209767,0.03298551302242736
